RK,Team,CONF,G,W,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR
1,Houston,B12,34,30,124.8,88,0.9823,52.7,44.9,14.6
2,Duke,ACC,34,31,128.5,91.3,0.9807,57.4,44.5,14.4
3,Auburn,SEC,33,28,129,93.7,0.9756,55.7,46,13.4
4,Florida,SEC,34,30,127.7,94,0.9713,55,45.3,15
5,Alabama,SEC,33,25,127.6,96.4,0.9621,56.3,47.9,16.7
6,Tennessee,SEC,34,27,119.3,91.1,0.957,52.8,44.4,16
7,Texas Tech,B12,33,25,126,96.7,0.9546,55.5,48,14.8
8,Iowa St.,B12,33,24,118.9,92.3,0.9481,54.6,48.4,16.9
9,Arizona,B12,34,22,123.9,96.5,0.9469,52.9,48.6,16.2
10,Maryland,B10,33,25,117.8,92,0.9449,53.8,47,14.5
11,Gonzaga,WCC,33,25,123.3,96.4,0.9441,55.7,47.5,13.2
12,Wisconsin,B10,35,26,122.4,96.1,0.9418,53.6,47.9,14.1
13,Michigan St.,B10,33,27,116.8,91.8,0.941,51.2,46.1,16.6
14,BYU,B12,33,24,125.4,99.1,0.9377,57.2,50.6,17.6
15,St. John's,BE,34,30,112.6,89.1,0.9364,49.7,46.6,15.6
16,Missouri,SEC,33,22,127,100,0.9344,56.2,50.7,15.2
17,Kentucky,SEC,33,22,123.9,98.7,0.9315,56,50.4,15.2
18,Purdue,B10,33,22,125,100,0.9289,56.3,52,15.6
19,Louisville,ACC,34,27,118.3,94.7,0.9288,53.4,49.2,16.5
20,Kansas,B12,33,21,116.1,93,0.9274,53.1,46.2,16.7
21,Clemson,ACC,33,27,118.3,94.8,0.9272,53.6,48.9,15.7
22,Texas A&M,SEC,32,22,115.7,93.1,0.9237,47.5,48.2,18.2
23,Illinois,B10,33,21,122.2,98.5,0.9228,52.3,47.3,15.8
24,Saint Mary's,WCC,33,28,115,92.8,0.9217,50.9,46.2,15.1
25,UCLA,B10,32,22,117.9,95.3,0.9205,53,50.5,15.9
26,Michigan,B10,34,25,115.1,94.4,0.9072,54.5,46.3,19.8
27,Baylor,B12,33,19,120.5,99.3,0.9027,51.5,51.2,16.1
28,Mississippi,SEC,33,22,117.4,96.9,0.9003,51.1,50.5,12.8
29,VCU,A10,34,28,116.2,96,0.9002,52.4,44.4,16.8
30,Georgia,SEC,32,20,115.9,95.8,0.8999,52.5,47.2,18.8
31,Marquette,BE,33,23,116.7,96.5,0.8983,52,49.9,13.5
32,Mississippi St.,SEC,33,21,118.3,98.8,0.8888,51.7,51.9,15.1
33,Creighton,BE,34,24,117.3,98.2,0.8852,55.8,47,18.1
34,West Virginia,B12,32,19,110.1,92.3,0.8836,50,46.3,16.2
35,Connecticut,BE,33,23,121.6,102,0.8829,55.5,48.3,17.1
36,North Carolina,ACC,35,22,118.8,99.8,0.8814,54.2,49.6,15.1
37,Xavier,BE,32,21,116.3,97.8,0.8797,53.9,50.6,16
38,Colorado St.,MWC,34,25,116.9,98.6,0.8761,55.8,48.5,17.4
39,Oregon,B10,33,24,115.1,97.3,0.8744,52.2,49.1,16.2
40,New Mexico,MWC,33,26,111.7,94.9,0.8673,50.8,49.2,15.6
41,Ohio St.,B10,32,17,116.8,99.5,0.8632,53.5,48.6,15.6
42,Vanderbilt,SEC,32,20,118.6,101.2,0.8621,51.7,52.9,14.7
43,Arkansas,SEC,33,20,111.9,95.4,0.8616,52.7,48.3,16.5
44,Cincinnati,B12,33,18,111.6,95.3,0.859,50.9,48.6,15.5
45,UC San Diego,BW,34,30,113.5,97,0.8589,55.4,47.7,13.4
46,Oklahoma,SEC,33,20,117.7,100.9,0.8549,54.9,51.1,17.3
47,SMU,ACC,33,23,116.8,100.3,0.8529,54.7,47.8,17.4
48,Utah St.,MWC,33,26,122.6,105.2,0.8528,56,51.8,16
49,Texas,SEC,34,19,116.7,100.2,0.8524,52.5,48.4,14.3
50,Boise St.,MWC,34,24,115.4,99.1,0.8519,52.1,49.6,16.9
51,Santa Clara,WCC,32,20,115.7,99.7,0.8469,55.5,49.5,17
52,Villanova,BE,33,19,118.6,102.5,0.8431,54.9,51.1,15.6
53,San Diego St.,MWC,30,21,108.9,94.3,0.8388,50.6,45.3,16.8
54,Northwestern,B10,33,17,113.3,98.1,0.8387,49.8,49.9,14.9
55,Indiana,B10,32,19,112.4,97.8,0.8317,51.1,49.8,16.7
56,Liberty,CUSA,34,28,112.8,98.2,0.8308,58.4,45.9,15.3
57,Kansas St.,B12,33,16,109.8,95.9,0.8249,50.6,49,17.7
58,Drake,MVC,33,30,112.5,98.5,0.8229,53.8,51.7,18.6
59,USC,B10,33,16,116.8,102.8,0.8142,54.6,52.4,17.8
60,Memphis,Amer,34,29,111.7,98.7,0.8059,53.6,48.5,19.2
61,San Francisco,WCC,33,24,111,98.1,0.8048,53,48.7,17
62,Nebraska,B10,31,17,111.9,99.2,0.7987,51.5,50.9,16.2
63,McNeese St.,Slnd,33,27,113.4,100.7,0.7962,53.3,47.5,16.2
64,Penn St.,B10,31,16,113.6,100.9,0.7956,54.1,51.9,17.4
65,Arizona St.,B12,32,13,113.2,100.8,0.7915,51.4,50.5,17.5
66,Iowa,B10,33,17,119.4,106.6,0.7877,56.8,54.4,13.7
67,Utah,B12,32,16,112.5,100.5,0.7866,51.7,48.7,18.1
68,Rutgers,B10,32,15,115.7,103.7,0.7783,50.6,52.8,15.4
69,UCF,B12,33,17,115.5,103.6,0.7767,49.4,51.1,17.2
